rank,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,mechanic,category
1,174430,Gloomhaven,1,4,150,90,150,2017,"Action / Movement Programming, Co-operative Play, Grid Movement, Hand Management, Modular Board, Role Playing, Simultaneous Action Selection, Storytelling, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Miniatures"
2,161936,Pandemic Legacy: Season 1,2,4,60,60,60,2015,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers","Environmental, Medical"
3,182028,Through the Ages: A New Story of Civilization,2,4,240,180,240,2015,"Action Point Allowance System, Auction/Bidding, Card Drafting","Card Game, Civilization, Economic"
4,12333,Twilight Struggle,2,2,180,120,180,2005,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection","Modern Warfare, Political, Wargame"
5,167791,Terraforming Mars,1,5,120,120,120,2016,"Card Drafting, Hand Management, Tile Placement, Variable Player Powers","Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building"
6,187645,Star Wars: Rebellion,2,4,240,180,240,2016,"Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Variable Player Powers","Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame"
7,120677,Terra Mystica,2,5,150,60,150,2012,"Area Control / Area Influence, Route/Network Building, Variable Phase Order, Variable Player Powers","Civilization, Economic, Fantasy, Territory Building"
8,169786,Scythe,1,5,115,90,115,2016,"Area Control / Area Influence, Grid Movement, Simultaneous Action Selection, Variable Player Powers","Civilization, Economic, Fighting, Miniatures, Science Fiction, Territory Building"
9,173346,7 Wonders Duel,2,2,30,30,30,2015,"Card Drafting, Set Collection","Ancient, Card Game, City Building, Civilization"
10,193738,Great Western Trail,2,4,150,75,150,2016,"Deck / Pool Building, Hand Management, Point to Point Movement, Tile Placement",American West
11,84876,The Castles of Burgundy,2,4,90,30,90,2011,"Dice Rolling, Set Collection, Tile Placement, Variable Phase Order","Dice, Medieval, Territory Building"
12,115746,War of the Ring (Second Edition),2,4,180,150,180,2012,"Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management","Adventure, Dice, Fantasy, Fighting, Miniatures, Novel-based, Territory Building, Wargame"
13,102794,Caverna: The Cave Farmers,1,7,210,30,210,2013,"Tile Placement, Worker Placement","Animals, Economic, Fantasy, Farming"
14,3076,Puerto Rico,2,5,150,90,150,2002,Variable Phase Order,"City Building, Economic, Farming"
15,31260,Agricola,1,5,150,30,150,2007,"Area Enclosure, Card Drafting, Hand Management, Variable Player Powers, Worker Placement","Animals, Economic, Farming"
16,96848,Mage Knight Board Game,1,4,150,150,150,2011,"Card Drafting, Co-operative Play, Deck / Pool Building, Dice Rolling, Grid Movement, Hand Management, Modular Board, Role Playing, Tile Placement, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting"
17,170216,Blood Rage,2,4,90,60,90,2015,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection","Fantasy, Fighting, Miniatures, Mythology"
18,205637,Arkham Horror: The Card Game,1,2,120,60,120,2016,"Action Point Allowance System, Co-operative Play, Deck / Pool Building, Hand Management, Role Playing, Variable Player Powers","Adventure, Card Game, Collectible Components, Fantasy, Horror, Novel-based"
19,205059,Mansions of Madness: Second Edition,1,5,180,120,180,2016,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Partnerships, Role Playing, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle"
20,25613,Through the Ages: A Story of Civilization,2,4,240,240,240,2006,"Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management","Civilization, Economic"
21,209010,Mechs vs. Minions,2,4,90,60,90,2016,"Action / Movement Programming, Card Drafting, Co-operative Play, Dice Rolling, Modular Board, Variable Player Powers","Fantasy, Fighting, Miniatures, Video Game Theme"
22,183394,Viticulture Essential Edition,1,6,90,45,90,2015,"Hand Management, Variable Phase Order, Worker Placement","Economic, Farming"
23,164153,Star Wars: Imperial Assault,2,5,120,60,120,2014,"Dice Rolling, Grid Movement, Modular Board, Partnerships, Role Playing, Variable Player Powers","Adventure, Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame"
24,124361,Concordia,2,5,100,100,100,2013,"Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement","Ancient, Economic, Nautical"
25,164928,Orléans,2,4,90,90,90,2014,"Deck / Pool Building, Point to Point Movement, Worker Placement","Medieval, Religious, Travel"
26,2651,Power Grid,2,6,120,120,120,2004,"Auction/Bidding, Route/Network Building","Economic, Industry / Manufacturing"
27,72125,Eclipse,2,6,200,60,200,2011,"Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers","Civilization, Fighting, Science Fiction, Space Exploration, Wargame"
28,175914,Food Chain Magnate,2,5,240,120,240,2015,"Card Drafting, Deck / Pool Building, Modular Board, Route/Network Building, Simultaneous Action Selection","Economic, Industry / Manufacturing"
29,177736,A Feast for Odin,1,4,120,30,120,2016,"Area Enclosure, Dice Rolling, Pattern Building, Press Your Luck, Tile Placement, Worker Placement","Economic, Industry / Manufacturing, Medieval, Puzzle"
30,121921,Robinson Crusoe: Adventures on the Cursed Island,1,4,120,60,120,2012,"Action / Movement Programming, Co-operative Play, Deck / Pool Building, Dice Rolling, Storytelling, Tile Placement, Variable Player Powers, Worker Placement","Adventure, Exploration, Fighting, Novel-based"
31,28720,Brass: Lancashire,2,4,180,120,180,2007,"Hand Management, Route/Network Building","Economic, Industry / Manufacturing, Transportation"
32,126163,Tzolk'in: The Mayan Calendar,2,4,90,90,90,2012,"Set Collection, Worker Placement","Ancient, Civilization, Economic, Farming, Mythology"
33,35677,Le Havre,1,5,150,30,150,2008,Worker Placement,"City Building, Economic, Industry / Manufacturing, Nautical"
34,124742,Android: Netrunner,2,2,45,45,45,2012,"Action Point Allowance System, Hand Management, Secret Unit Deployment, Variable Player Powers","Bluffing, Card Game, Collectible Components, Science Fiction"
35,55690,Kingdom Death: Monster,1,6,180,60,180,2015,"Co-operative Play, Dice Rolling, Grid Movement, Role Playing, Storytelling","Adventure, Fantasy, Horror, Mature / Adult, Miniatures, Mythology"
36,171623,The Voyages of Marco Polo,2,4,100,40,100,2015,"Card Drafting, Dice Rolling, Point to Point Movement, Set Collection, Variable Player Powers, Worker Placement","Dice, Economic, Medieval, Travel"
37,180263,The 7th Continent,1,4,1000,5,1000,2017,"Co-operative Play, Hand Management, Modular Board, Storytelling","Adventure, Card Game, Exploration, Horror, Science Fiction"
38,178900,Codenames,2,8,15,15,15,2015,"Memory, Partnerships, Pattern Recognition, Press Your Luck","Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game"
39,122515,Keyflower,2,6,120,90,120,2012,"Auction/Bidding, Memory, Modular Board, Pick-up and Deliver, Route/Network Building, Set Collection, Tile Placement, Worker Placement","City Building, Economic, Nautical, Renaissance, Territory Building"
40,68448,7 Wonders,2,7,30,30,30,2010,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers","Ancient, Card Game, City Building, Civilization"
41,146508,T.I.M.E Stories,2,4,240,90,240,2015,"Co-operative Play, Dice Rolling, Role Playing, Storytelling, Time Track, Variable Player Powers","Adventure, Mature / Adult, Science Fiction"
42,18602,Caylus,2,5,150,60,150,2005,Worker Placement,"City Building, Economic, Medieval"
43,146021,Eldritch Horror,1,8,240,120,240,2013,"Co-operative Play, Dice Rolling, Point to Point Movement, Variable Player Powers","Adventure, Fantasy, Fighting, Horror, Novel-based"
44,12493,Twilight Imperium (Third Edition),3,6,240,180,240,2005,"Action Point Allowance System, Area-Impulse, Dice Rolling, Hex-and-Counter, Modular Board, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting","Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame"
45,28143,Race for the Galaxy,2,4,60,30,60,2007,"Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers","Card Game, Civilization, Economic, Science Fiction, Space Exploration"
46,110327,Lords of Waterdeep,2,5,120,60,120,2012,"Set Collection, Take That, Worker Placement","City Building, Fantasy"
47,62219,Dominant Species,2,6,240,120,240,2010,"Area Control / Area Influence, Card Drafting, Grid Movement, Modular Board, Tile Placement, Variable Player Powers, Worker Placement","Animals, Environmental, Prehistoric"
48,157354,Five Tribes,2,4,80,40,80,2014,"Area Control / Area Influence, Auction/Bidding, Modular Board, Set Collection, Variable Phase Order","Arabian, Fantasy, Mythology"
49,93,El Grande,2,5,120,60,120,1995,"Area Control / Area Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",Renaissance
50,163412,Patchwork,2,2,30,15,30,2014,"Tile Placement, Time Track","Abstract Strategy, Puzzle"
51,132531,Roll for the Galaxy,2,5,45,45,45,2014,"Deck / Pool Building, Dice Rolling, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers","Civilization, Dice, Economic, Science Fiction, Space Exploration"
52,159675,Fields of Arle,1,2,120,60,120,2014,Worker Placement,"Economic, Farming, Industry / Manufacturing"
53,40834,Dominion: Intrigue,2,4,30,30,30,2009,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Medieval"
54,201808,Clank!: A Deck-Building Adventure,1,4,60,30,60,2016,"Card Drafting, Deck / Pool Building, Player Elimination, Point to Point Movement, Press Your Luck","Adventure, Fantasy"
55,150376,Dead of Winter: A Crossroads Game,2,5,210,45,210,2014,"Action Point Allowance System, Area Movement, Co-operative Play, Dice Rolling, Hand Management, Press Your Luck, Storytelling, Trading, Variable Player Powers, Voting","Bluffing, Deduction, Horror, Zombies"
56,103885,Star Wars: X-Wing Miniatures Game,2,2,45,30,45,2012,"Action / Movement Programming, Dice Rolling, Player Elimination, Simultaneous Action Selection, Variable Player Powers","Aviation / Flight, Bluffing, Collectible Components, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame"
57,37111,Battlestar Galactica: The Board Game,3,6,300,120,300,2008,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Partnerships, Role Playing, Variable Player Powers","Bluffing, Deduction, Movies / TV / Radio theme, Political, Science Fiction, Space Exploration, Spies/Secret Agents"
58,221107,Pandemic Legacy: Season 2,2,4,60,60,60,2017,"Co-operative Play, Hand Management, Pick-up and Deliver, Point to Point Movement, Set Collection, Variable Player Powers","Environmental, Exploration, Medical"
59,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,120,60,120,1981,"Co-operative Play, Storytelling","Deduction, Murder/Mystery, Novel-based, Post-Napoleonic, Spies/Secret Agents"
60,172386,Mombasa,2,4,150,75,150,2015,"Action / Movement Programming, Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management, Simultaneous Action Selection, Stock Holding, Variable Player Powers, Worker Placement",Economic
61,144733,Russian Railroads,2,4,120,90,120,2013,Worker Placement,"Industry / Manufacturing, Trains"
62,102680,Trajan,2,4,120,60,120,2011,"Area Movement, Card Drafting, Hand Management, Set Collection","Ancient, Political"
63,73439,Troyes,2,4,90,90,90,2010,"Area Control / Area Influence, Dice Rolling, Worker Placement","Dice, Economic, Medieval"
64,36218,Dominion,2,4,30,30,30,2008,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Medieval"
65,42,Tigris & Euphrates,2,4,90,90,90,1997,"Area Control / Area Influence, Hand Management, Set Collection, Tile Placement","Abstract Strategy, Ancient, Civilization, Territory Building"
66,30549,Pandemic,2,4,45,45,45,2008,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",Medical
67,220308,Gaia Project,1,4,150,60,150,2017,"Modular Board, Route/Network Building, Variable Phase Order, Variable Player Powers","Civilization, Economic, Science Fiction, Territory Building"
68,194655,Santorini,2,4,20,20,20,2016,"Grid Movement, Tile Placement, Variable Player Powers","Abstract Strategy, Ancient, Mythology"
69,125153,The Gallerist,1,4,150,60,150,2015,"Commodity Speculation, Set Collection, Worker Placement",Economic
70,521,Crokinole,2,4,30,30,30,1876,Partnerships,Action / Dexterity
71,104162,Descent: Journeys in the Dark (Second Edition),2,5,120,120,120,2012,"Action Point Allowance System, Dice Rolling, Grid Movement, Hand Management, Modular Board, Partnerships, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Miniatures"
72,127023,Kemet,2,5,120,90,120,2012,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Variable Phase Order","Ancient, Fighting, Miniatures, Mythology"
73,155426,Castles of Mad King Ludwig,1,4,90,90,90,2014,"Card Drafting, Pattern Building, Set Collection, Tile Placement",Post-Napoleonic
74,9609,War of the Ring (first edition),2,4,120,120,120,2004,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management","Adventure, Dice, Fantasy, Miniatures, Novel-based, Territory Building, Wargame"
75,34635,Stone Age,2,4,90,60,90,2008,"Dice Rolling, Set Collection, Worker Placement","Dice, Prehistoric"
76,161970,Alchemists,2,4,120,120,120,2014,"Action Point Allowance System, Card Drafting, Hand Management, Worker Placement","Deduction, Fantasy"
77,216132,Clans of Caledonia,1,4,120,30,120,2017,"Commodity Speculation, Modular Board, Route/Network Building, Variable Player Powers",Economic
78,128882,The Resistance: Avalon,5,10,30,30,30,2012,"Memory, Partnerships, Simultaneous Action Selection, Variable Player Powers, Voting","Bluffing, Card Game, Deduction, Fantasy, Medieval, Negotiation, Party Game, Spies/Secret Agents"
79,103343,A Game of Thrones: The Board Game (Second Edition),3,6,240,120,240,2011,"Area Control / Area Influence, Area Movement, Auction/Bidding, Hand Management, Player Elimination, Simultaneous Action Selection, Variable Player Powers","Bluffing, Fantasy, Negotiation, Novel-based, Political, Wargame"
80,175155,Forbidden Stars,2,4,180,120,180,2015,"Area Control / Area Influence, Dice Rolling, Hand Management, Modular Board, Variable Player Powers","Bluffing, Fighting, Miniatures, Science Fiction, Wargame"
81,155068,Arcadia Quest,2,4,60,60,60,2014,"Dice Rolling, Grid Movement, Modular Board, Variable Player Powers","Adventure, Fantasy, Fighting, Miniatures"
82,146652,Legendary Encounters: An Alien Deck Building Game,1,5,45,45,45,2014,"Card Drafting, Co-operative Play, Deck / Pool Building, Partnerships, Player Elimination, Variable Player Powers","Card Game, Fighting, Horror, Movies / TV / Radio theme, Science Fiction"
83,147020,Star Realms,2,2,20,20,20,2014,"Card Drafting, Deck / Pool Building, Hand Management, Take That","Card Game, Fighting, Science Fiction"
84,70149,Ora et Labora,1,4,180,60,180,2011,"Modular Board, Pattern Building, Set Collection, Tile Placement, Worker Placement","City Building, Economic, Industry / Manufacturing, Medieval, Religious, Territory Building"
85,123260,Suburbia,1,4,90,90,90,2012,"Card Drafting, Set Collection, Tile Placement","City Building, Economic"
86,126042,Nations,1,5,200,40,200,2013,"Card Drafting, Variable Player Powers","Card Game, Civilization, Economic"
87,14996,Ticket to Ride: Europe,2,5,60,30,60,2005,"Card Drafting, Hand Management, Route/Network Building, Set Collection","Trains, Travel"
88,43111,Chaos in the Old World,3,4,120,60,120,2009,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Role Playing, Take That, Variable Player Powers","Fantasy, Fighting, Horror, Mythology, Wargame"
89,14105,Commands & Colors: Ancients,2,2,60,60,60,2006,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Hex-and-Counter, Modular Board","Ancient, Wargame"
90,148949,Istanbul,2,5,60,40,60,2014,"Dice Rolling, Grid Movement, Modular Board, Pick-up and Deliver",Economic
91,17133,Railways of the World,2,6,120,120,120,2005,"Action Point Allowance System, Auction/Bidding, Card Drafting, Pick-up and Deliver, Route/Network Building, Tile Placement","Trains, Transportation, Video Game Theme"
92,91,Paths of Glory,2,2,480,480,480,1999,"Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement","Wargame, World War I"
93,185343,Anachrony,1,4,120,30,120,2017,"Action Point Allowance System, Card Drafting, Dice Rolling, Variable Player Powers, Worker Placement","Economic, Science Fiction"
94,171131,Captain Sonar,2,8,60,45,60,2016,"Grid Movement, Line Drawing, Partnerships, Role Playing, Secret Unit Deployment, Simultaneous Action Selection","Deduction, Fighting, Nautical, Real-time"
95,198928,Pandemic Iberia,2,5,45,45,45,2016,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",Medical
96,39463,Cosmic Encounter,3,5,120,60,120,2008,"Hand Management, Partnerships, Take That, Variable Player Powers","Bluffing, Negotiation, Science Fiction, Space Exploration"
97,21050,Combat Commander: Europe,2,2,180,60,180,2006,"Campaign / Battle Card Driven, Hex-and-Counter, Simulation, Variable Phase Order","Wargame, World War II"
98,9216,Goa,2,4,90,90,90,2004,"Auction/Bidding, Hand Management, Press Your Luck","Economic, Farming, Nautical, Renaissance"
99,77423,The Lord of the Rings: The Card Game,1,2,60,60,60,2011,"Co-operative Play, Hand Management, Variable Player Powers","Adventure, Card Game, Collectible Components, Fantasy, Novel-based"
100,54043,Jaipur,2,2,30,30,30,2009,"Card Drafting, Hand Management, Set Collection","Animals, Card Game"
